measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,metric_id,metric_name,year,val,upper,lower
44,Population,44634,High-middle SDI,3,Both,159,10-24 years,1,Number,1991,361778344.49372095,376691461.1885579,348115824.73452294
44,Population,44634,High-middle SDI,3,Both,159,10-24 years,1,Number,1992,360425388.70513296,375764784.8921846,346754394.94050014
44,Population,44634,High-middle SDI,3,Both,159,10-24 years,1,Number,1993,359087660.665586,375098685.48448604,344523697.8481973
44,Population,44634,High-middle SDI,3,Both,159,10-24 years,1,Number,1994,358171341.9880111,374911084.264675,343068900.92403466
44,Population,44634,High-middle SDI,3,Both,159,10-24 years,1,Number,1995,358265525.69882417,375771107.0570302,342467208.16552246
44,Population,44634,High-middle SDI,3,Both,159,10-24 years,1,Number,1996,359690173.15941006,377008378.5996523,344090894.3212628
44,Population,44634,High-middle SDI,3,Both,159,10-24 years,1,Number,1997,361816940.2303414,377681889.4182327,346390660.66730684
44,Population,44634,High-middle SDI,3,Both,159,10-24 years,1,Number,1998,364606446.258405,379469860.48571706,350843987.85489666
44,Population,44634,High-middle SDI,3,Both,159,10-24 years,1,Number,1999,368100916.522179,381818114.86927396,355322264.5893267
44,Population,44634,High-middle SDI,3,Both,159,10-24 years,1,Number,2000,371923336.0645591,384980215.8631935,359413306.01603425
44,Population,44634,High-middle SDI,3,Both,159,10-24 years,1,Number,2001,375606994.41791695,389147998.77282345,363353068.00265706
44,Population,44634,High-middle SDI,3,Both,159,10-24 years,1,Number,2002,378962112.22600704,393978071.0874971,365419895.25737774
44,Population,44634,High-middle SDI,3,Both,159,10-24 years,1,Number,2003,381605748.55815655,397403613.5835783,367095790.6688346
44,Population,44634,High-middle SDI,3,Both,159,10-24 years,1,Number,2004,383485178.7490493,400023869.5516499,367322035.77062935
44,Population,44634,High-middle SDI,3,Both,159,10-24 years,1,Number,2005,384823854.95308375,403155757.42093605,367631351.51777756
44,Population,44634,High-middle SDI,3,Both,159,10-24 years,1,Number,2006,385537660.4160588,403446429.76326084,368108728.81072897
44,Population,44634,High-middle SDI,3,Both,159,10-24 years,1,Number,2007,385350047.13419974,402530717.2099793,369179729.55911076
44,Population,44634,High-middle SDI,3,Both,159,10-24 years,1,Number,2008,384100856.5092392,399462039.14093137,369500353.0399557
44,Population,44634,High-middle SDI,3,Both,159,10-24 years,1,Number,2009,382321137.83798176,396387727.6283999,368535138.0192546
